id,asset_id,card_number,asset_name,liquidation_date,liquidation_reason,unit_name,quantity,liquidated_by_user_id,liquidated_by_name,attachments_json
1,3,1003,Camera IP,2025-12-14,Hư hỏng không thể sửa chữa,Phòng Tài chính,1,13,Lê Minh Đức,"[""liq_1003_1.jpg"", ""liq_1003_2.jpg""]"
2,8,1008,Bàn thí nghiệm điện,2025-11-01,Lỗi thời công nghệ,Phòng Quản trị thiết bị,2,9,Nguyễn Đức Hải,"[""liq_1008_1.jpg""]"
3,9,1009,Bộ mô phỏng ô tô,2025-06-03,Hư hỏng không thể sửa chữa,Phòng Quản trị thiết bị,2,1,Trần Ngọc Anh,"[""liq_1009_1.jpg"", ""liq_1009_2.jpg""]"
4,12,1012,Mô hình động cơ,2025-05-20,Thiết bị xuống cấp nặng,Phòng Quản trị thiết bị,1,17,Vũ Hoàng Long,"[""liq_1012_1.jpg""]"
5,14,1014,Máy lạnh Daikin,2025-01-20,Thiết bị xuống cấp nặng,Khoa Xây dựng,2,5,Vũ Hoàng Long,"[""liq_1014_1.jpg"", ""liq_1014_2.jpg""]"
6,24,1024,Bộ mô phỏng ô tô,2025-03-14,Hư hỏng không thể sửa chữa,Khoa Cơ khí,3,16,Vũ Hoàng Long,"[""liq_1024_1.jpg""]"
7,34,1034,Loa treo tường,2025-04-06,Hư hỏng không thể sửa chữa,Phòng Quản trị thiết bị,1,15,Lê Minh Đức,"[""liq_1034_1.jpg"", ""liq_1034_2.jpg""]"
8,36,1036,Mô hình động cơ,2025-03-24,Lỗi thời công nghệ,Khoa Cơ khí,3,8,Trần Ngọc Anh,"[""liq_1036_1.jpg""]"
9,39,1039,Kệ dụng cụ cơ khí,2025-10-28,Không còn nhu cầu sử dụng,Khoa Xây dựng,2,8,Nguyễn Đức Hải,"[""liq_1039_1.jpg"", ""liq_1039_2.jpg""]"
10,50,1050,Màn chiếu điện,2025-01-22,Không còn nhu cầu sử dụng,Phòng Tài chính,1,2,Nguyễn Đức Hải,"[""liq_1050_1.jpg""]"
