id,card_number,asset_name,provider,country,department,classroom,asset_type,item_category,manufacture_year,unit_price,quantity,original_price,fund_source,usage_time,purchase_date,usage_year,buyer_user_id,room_id,status,note
1,1001,Máy lạnh Daikin,Đại Nam Trading,Germany,Công nghệ thông tin,K65.CNTT,LAB_EQUIPMENT,Category 001,2025,2336734,1,2336734,TAI_TRO,1,2025-08-01,2025,14,1,MAINTENANCE,Tài sản tại phòng 201DN; tình trạng maintenance
2,1002,PC phòng máy,Công nghệ Sao Mai,Viet Nam,Công nghệ thông tin,K65.CNTT_N_1,FURNITURE,Category 002,2025,21324596,20,426491920,TAI_TRO,1,2025-04-20,2025,2,2,IN_USE,Tài sản tại phòng 202DN; tình trạng in_use
3,1003,Camera IP,Công nghệ Sao Mai,Japan,Công nghệ thông tin,K65.CNTT_N_2,ELECTRONIC,Category 003,2019,22239759,1,22239759,NGAN_SACH,7,2019-08-18,2019,22,3,BROKEN,Tài sản tại phòng 203DN; tình trạng broken
4,1004,Máy lạnh Daikin,Đại Nam Trading,Japan,Kỹ thuật cơ điện tử,K65.KTCĐT,FURNITURE,Category 004,2024,17729823,12,212757876,TAI_TRO,2,2024-04-20,2024,2,4,IN_USE,Tài sản tại phòng 204DN; tình trạng in_use
5,1005,Bàn thí nghiệm điện,Hải Đăng Tech,Viet Nam,Kỹ thuật cơ điện tử,K65.KTCĐT_N_1,ELECTRONIC,Category 005,2021,16808868,16,268941888,DU_AN,5,2021-09-01,2021,14,5,IN_USE,Tài sản tại phòng 301DN; tình trạng in_use
6,1006,Quạt trần công suất lớn,Thiết bị Hoàng Gia,Korea,Kỹ thuật cơ điện tử,K65.KTCĐT_N_2,LAB_EQUIPMENT,Category 006,2022,26529261,14,371409654,DU_AN,4,2022-04-06,2022,7,6,IN_USE,Tài sản tại phòng 303DN; tình trạng in_use
7,1007,Bàn thí nghiệm điện,Phúc An Lab,Germany,Cơ khí động lực,K65.CKĐL,ELECTRONIC,Category 007,2024,17017044,4,68068176,TAI_TRO,2,2024-01-03,2024,10,7,IN_USE,Tài sản tại phòng 304DN; tình trạng in_use
8,1008,Bàn thí nghiệm điện,Hải Đăng Tech,Viet Nam,Cơ khí động lực,K65.CKĐL_N_1,LAB_EQUIPMENT,Category 008,2025,3139451,9,28255059,NGAN_SACH,1,2025-09-21,2025,24,8,MAINTENANCE,Tài sản tại phòng 401DN; tình trạng maintenance
9,1009,Bộ mô phỏng ô tô,Đại Nam Trading,Japan,Cơ khí động lực,K65.CKĐL_N_2,LAB_EQUIPMENT,Category 009,2018,25395469,5,126977345,XHH,8,2018-12-17,2018,7,9,BROKEN,Tài sản tại phòng 402DN; tình trạng broken
10,1010,Mô hình động cơ,Phúc An Lab,Viet Nam,Kỹ thuật ô tô,K65.KTOTO,FURNITURE,Category 010,2025,2488574,9,22397166,XHH,1,2025-01-07,2025,18,10,IN_USE,Tài sản tại phòng 403DN; tình trạng in_use
11,1011,Kệ dụng cụ cơ khí,Đại Nam Trading,Germany,Kỹ thuật ô tô,K65.KTOTO_N_1,LAB_EQUIPMENT,Category 011,2020,23145021,9,208305189,XHH,6,2020-09-25,2020,2,11,IN_USE,Tài sản tại phòng 404DN; tình trạng in_use
